date,srad,rain,rhum,tmax,tmin,wvel
1988-01-01,19.01,5.2,76.5,18.56,6.73,1.6
1988-01-02,19.44,9.1,85.69,16.98,8.14,1.23
1988-01-03,28.44,6.08,84.93,16.71,7.18,1.17
1988-01-04,14.83,1.64,86.24,16.71,7.88,1.12
1988-01-05,23.58,2.27,77.93,18.43,7.91,1.41
1988-01-06,19.4,3.52,87.61,16.04,9.45,1.3
1988-01-07,11.05,0.71,86.89,15.69,8.43,1.1
1988-01-08,22.46,0.13,79.34,19.03,7.73,1.65
1988-01-09,21.17,3.13,81.79,17.62,7.49,1.73
1988-01-10,15.91,9.42,85.82,16.66,8.49,1.36
1988-01-11,15.05,3.57,81.65,17.91,8.78,1.4
1988-01-12,17.28,0.86,80.58,18.5,8.41,1.23
1988-01-13,13.36,1.89,85.78,15.86,7.12,1.25
1988-01-14,17.82,1.38,82.8,17.46,8.88,1.57
1988-01-15,15.44,1.6,85.72,15.81,7.38,1.65
1988-01-16,18.32,0.8,82.72,16.97,7.98,1.87
1988-01-17,14.98,5.23,85.68,15.05,8.33,1.2
1988-01-18,20.23,3.98,85.92,16.04,8.48,1.58
1988-01-19,18.83,0.58,84.92,16.71,5.86,1.46
1988-01-20,19.66,6.41,82.1,16.73,7.84,1.5
1988-01-21,19.84,6.54,82.82,16.29,5.78,1.27
1988-01-22,17.75,3.23,89.11,15.03,8.42,1.86
1988-01-23,19.62,3.99,83.25,16.75,7.33,1.64
1988-01-24,17.03,12.06,85.79,16.57,8.61,1.89
1988-01-25,14.58,8.34,84.28,16.71,7.23,1.51
1988-01-26,19.66,1.3,82.27,17.26,6.5,1.91
1988-01-27,17.42,0.83,79.46,17.19,6.8,1.65
1988-01-28,20.48,4.79,82.77,16.43,7.01,1.59
1988-01-29,8.6,2.07,80.43,18.13,5.98,2.18
1988-01-30,15.12,0.39,83.46,16.64,8.65,1.95
1988-01-31,22.72,0.15,84.24,15.75,7.81,1.93
1988-02-01,21.53,1.84,80.19,17.31,7.57,1.73
1988-02-02,22.57,5.57,84.71,16.67,8.35,1.57
1988-02-03,19.58,2.79,86.68,16.44,8.77,1.56
1988-02-04,20.59,3.31,90.71,16.71,8.69,1.5
1988-02-05,17.68,0.09,83.08,15.68,7.93,1.81
1988-02-06,26.86,0.02,78.62,18.37,6.99,1.83
1988-02-07,25.31,0.43,79.72,18.01,7.97,1.44
1988-02-08,24.26,0.33,82.73,16.66,8.33,1.44
1988-02-09,19.33,1.29,85.9,17.02,8.74,1.25
1988-02-10,15.44,2.03,86.85,16.14,8.74,1.27
1988-02-11,18.47,1.24,84.8,16.53,7.53,1.28
1988-02-12,20.09,1.05,81.02,18.24,8.37,1.93
1988-02-13,20.77,0.05,77.03,18.91,7.93,1.83
1988-02-14,13.03,9.72,80.73,18.21,7.82,1.72
1988-02-15,9.97,1.62,84.14,16.9,8.25,1.7
1988-02-16,24.95,0.22,81.72,18.22,8.84,1.69
1988-02-17,24.77,0,79.39,18.64,9.08,1.66
1988-02-18,22.43,4.38,83.32,17.26,7.81,1.1
1988-02-19,24.08,0.69,78.9,18.87,6.5,1.99
1988-02-20,24.16,1.11,79.79,16.63,6.8,1.18
1988-02-21,17.28,4.82,84.32,18.21,7.34,1.25
